,samplecode,samplename
0,JQ757046,
1,KF156836,
2,OL450428,
3,NC_024663,
4,MN078090,
5,NC_037472,
6,NC_041473,
7,LP207930,Ericales_Theaceae_Pyrenaria_hirta
8,LP208122,
9,LP207932,Ericales_Theaceae_Polyspora_speciosa
10,DG026,Ericales_Theaceae_Franklinia_alatamaha
11,SAS60,Ericales_Theaceae_Gordonia_lasianthus
12,SAS32,Ericales_Theaceae_Stewartia_pseudocamellia
13,KX904873,
14,NC_036052,
15,NC_031376,
16,NC_014697,
17,LP207926,Ericales_Sladeniaceae_Sladenia_celastrifolia
18,NC_036306,
19,NC_059012,
20,DG007,Caryophyllales_Polygonaceae_Pterostegia_drymarioides
21,NC_007898,
22,NC_041602,
23,NC_048520,
24,NC_059942,
25,GJBN01,Ericales_Balsaminaceae_Impatiens_bicornuta
26,GJBY01,Ericales_Balsaminaceae_Impatiens_scabrida
27,GJBO01,Ericales_Balsaminaceae_Impatiens_devendrae
28,GJBR01,Ericales_Balsaminaceae_Impatiens_racemosa
29,GJBP01,Ericales_Balsaminaceae_Impatiens_falcifer
30,GJBZ01,Ericales_Balsaminaceae_Impatiens_scullyi
31,PL008455,
32,DG008,Ericales_Marcgraviaceae_Marcgravia_rectiflora
33,MF359935,
34,MF359937,
35,GHLO01,Ericales_Lecythidaceae_Eschweilera_coriacea
36,GHLP01,Ericales_Lecythidaceae_Eschweilera_coriacea
37,MF359943,
38,MF359952,
39,NC_035705,
40,LP207924,Ericales_Lecythidaceae_Barringtonia_racemosa
41,NC_030786,
42,NC_030789,
43,SAS57,Ericales_Ebenaceae_Diospyros_virginiana
44,NC_031428,
45,LP207984,Ericales_Primulaceae_Primula_cicutariifolia
46,SAS31,Ericales_Primulaceae_Primula_meadia
47,LP207971,Ericales_Primulaceae_Androsace_umbellata
48,LP208062,Ericales_Primulaceae_Stimpsonia_chamaedryoides
49,LP208066,Ericales_Primulaceae_Lysimachia_fukienensis
50,LP208196,
51,LP208242,
52,LP208155,
53,SAS53,Ericales_Primulaceae_Myrsine_floridana
54,LP207988,Ericales_Primulaceae_Rapanea_neriifolia__Myrsine_seguinii
55,PL008734,
56,DG024,Ericales_Primulaceae_Bonellia_frutescens
57,SAS59,Ericales_Primulaceae_Clavija_harlingli
58,LP207986,Ericales_Primulaceae_Samolus_valerandi
59,DAL218,Ericales_Polemoniaceae_Ipomopsis_aggregata
60,DG015,Ericales_Polemoniaceae_Eriastrum_densiflorum
61,DG023,Ericales_Polemoniaceae_Loeseliastrum_schottii
62,DG022,Ericales_Polemoniaceae_Giliastrum_incisum
63,DG012,Ericales_Polemoniaceae_Aliciella_latifolia
64,DG016,Ericales_Polemoniaceae_Gilia_angelensis
65,DG020,Ericales_Polemoniaceae_Polemonium_caeruleum_subsp_vilosum
66,DG017,Ericales_Polemoniaceae_Leptosiphon_aureus
67,DG019,Ericales_Polemoniaceae_Microsteris_gracilis
68,DG018,Ericales_Polemoniaceae_Linanthus_californicus
69,DG011,Ericales_Polemoniaceae_Acanthogilia_gloriosa
70,DG013,Ericales_Polemoniaceae_Cantua_caerulea
71,NC_035709,
72,LP207928,Ericales_Pentaphylacaceae_Anneslea_fragrans
73,LP207929,Ericales_Pentaphylacaceae_Adinandra_millettii
74,PL008867,
75,LP207927,Ericales_Pentaphylacaceae_Pentaphylax_euryoides
76,LP208112,
77,PL008615,
78,LP208119,
79,SAS55,Ericales_Sapotaceae_Manilkara_sapota
80,SAS29,Ericales_Sapotaceae_Argania_spinosa
81,LP208116,
82,SAS30,Ericales_Sapotaceae_Niemeyera_whitei
83,LP207985,Ericales_Sapotaceae_Pouteria_campechiana
84,LP208123,
85,LP208118,
86,LP208074,
87,LP207933,Ericales_Styracaceae_Melliodendron_xylocarpum
88,LP207934,Ericales_Styracaceae_Rehderodendron_macrocarpum
89,LP207936,Ericales_Styracaceae_Pterostyrax_psilophyllus
90,SAS52,Ericales_Styracaceae_Halesia_diptera
91,PL008713,
92,LP208124,
93,LP207990,Ericales_Styracaceae_Styrax_obassis
94,SAS58,Ericales_Styracaceae_Stryrax_alnaicanus
95,PL008549,
96,PL008755,
97,PL008847,
98,LP207992,Ericales_Sarraceniaceae_Heliamphora_tatei
99,SAS33,Ericales_Sarraceniaceae_Sarracenia_rubra_subsp_gulfensis
100,SAS54,Ericales_Sarraceniaceae_Saracennia_leucophyla
101,DAL227,Ericales_Sarraceniaceae_Darlingtonia_californica
102,SAS56,Ericales_Clethraceae_Clethra_accuminata
103,NC_026690,
104,NC_026691,
105,NC_039973,
106,NC_034914,
107,LP208143,
108,KU878156,
109,LP208348,
110,LP208349,
111,LP207993,Ericales_Ericaceae_Arbutus_unedo
112,ZSTU04567,
113,LP208288,
114,LP208023,Ericales_Ericaceae_Pyrola_decorata
115,LP208326,
116,MN711645,
117,MZ073672,
118,NC_053764,
119,LP208091,
120,LP208330,
121,LP208360,
122,LP207994,Ericales_Ericaceae_Cassiope_fastigiata
123,LP208352,
124,LP208353,
125,LP207941,Ericales_Ericaceae_Pieris_japonica
126,DG006,Ericales_Ericaceae_Oxydendrum_arboreum
127,LP208286,
128,PL008850,
129,DAL224,Ericales_Ericaceae_Leucothoe_davisiae
130,LP207995,Ericales_Ericaceae_Gaultheria_nummularioides
131,LP208327,
132,LP207996,Ericales_Ericaceae_Agapetes_forrestii
133,DAL212,Ericales_Ericaceae_Vaccinium_coccineum
134,NC_019616,
